comment_id,post_id,reply,date,commenter_name,commenter_id
1550054067131091_4356615621217288,105834518183309_1550054067131091,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ba-46-00-00-465%0APrice%3A%20Rs%202499.0%0ASource%3A%20facebook_comment,2026-05-10 13:12:48.933029,Nooraxo,105834518183309.0
1550136320456199_2079493212910334,105834518183309_1550136320456199,@[105834518183309] Ji price Rs 1799.0 hai 😊 Order confirm karne ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-72-00-00-729%0APrice%3A%20Rs%201799.0%0ASource%3A%20facebook_comment,2026-05-10 13:12:54.125771,Nooraxo,105834518183309.0
1550143470455484_1271381845167689,105834518183309_1550143470455484,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-55-00-12-55%0APrice%3A%20Rs%201199.0%0ASource%3A%20facebook_comment,2026-05-10 13:12:59.635142,Nooraxo,105834518183309.0
1550156170454214_911705055214670,105834518183309_1550156170454214,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-61-00-00-61%0APrice%3A%20Rs%20899.0%0ASource%3A%20facebook_comment,2026-05-10 13:13:06.590198,Nooraxo,105834518183309.0
1550178680451963_2209412476555394,105834518183309_1550178680451963,@[105834518183309] Zaroor 😊 Order confirm karne ke liye WhatsApp link open karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-59-00-00-599%0APrice%3A%20Rs%20499.0%0ASource%3A%20facebook_comment,2026-05-10 13:13:11.518383,Nooraxo,105834518183309.0
1550178680451963_1014170517806192,105834518183309_1550178680451963,Ji price Rs 499.0 hai 😊 Order confirm karne ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-59-00-00-599%0APrice%3A%20Rs%20499.0%0ASource%3A%20facebook_comment,2026-05-10 13:13:19.404090,,
1549390790530752_1299657642256588,105834518183309_1549390790530752,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Ho-65-00-00-658%0APrice%3A%20Rs%20699.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:06.356440,Nooraxo,105834518183309.0
1549431853859979_2451826968572892,105834518183309_1549431853859979,@[105834518183309] Ji price Rs 2499.0 hai 😊 Order confirm karne ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Sm-27-00-00-271%0APrice%3A%20Rs%202499.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:11.665158,Nooraxo,105834518183309.0
1549489377187560_1666067914668278,105834518183309_1549489377187560,@[105834518183309] Ji available hai 😊 Fast booking ke liye WhatsApp par message karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-60-00-00-609%0APrice%3A%20Rs%20699.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:46.327264,Nooraxo,105834518183309.0
1549500470519784_973569771926275,105834518183309_1549500470519784,@[105834518183309] Ji price Rs 1599.0 hai 😊 Order confirm karne ke liye WhatsApp karein: https://wa.me/923169250202?text=Assalam%20o%20Alaikum%2C%0AI%20want%20to%20order%20this%20product.%0A%0AProduct%3A%20Pe-74-00-00-74%0APrice%3A%20Rs%201599.0%0ASource%3A%20facebook_comment,2026-05-10 13:42:51.585102,Nooraxo,105834518183309.0
